Total_Correct_Answers,Beginner_Correct_Answers,Intermediate_Correct_Answers,Advanced_Correct_Answers,Proficiency_Level
1,1,0,0,Begineer
2,1,1,0,Begineer
3,1,1,1,Begineer
4,2,2,0,Begineer
5,3,1,1,Begineer
6,3,2,1,Begineer
6,5,1,0,Begineer
7,4,3,0,Begineer
7,5,2,0,Begineer
8,4,3,1,Begineer
8,4,4,0,Begineer
9,5,2,2,Begineer
9,4,4,1,Begineer
7,7,0,0,Indermediate
8,7,1,0,Indermediate
9,7,1,1,Indermediate
9,6,3,0,Indermediate
10,7,2,1,Indermediate
11,6,3,2,Indermediate
12,7,4,1,Indermediate
12,4,4,4,Indermediate
13,6,5,2,Indermediate
14,7,5,2,Indermediate
15,5,5,5,Indermediate
15,8,4,3,Indermediate
16,9,4,3,Indermediate
16,8,6,2,Advanced
16,8,7,1,Advanced
16,9,6,1,Advanced
17,8,6,3,Advanced
18,7,6,5,Advanced
18,8,6,4,Advanced
18,6,6,6,Advanced
19,7,6,6,Advanced
19,9,6,4,Advanced
20,8,7,5,Advanced
21,9,8,4,Advanced
21,8,8,5,Advanced
22,9,8,5,Advanced
21,8,7,6,Expert
22,8,7,7,Expert
22,9,7,6,Expert
22,8,8,6,Expert
22,7,8,7,Expert
23,9,7,7,Expert
23,9,8,6,Expert
23,8,8,7,Expert
23,8,7,8,Expert
24,9,8,7,Expert
24,9,7,8,Expert
24,8,8,8,Expert
25,9,8,8,Expert